,cntr_no,carrier_no,pol,scheduled_pol_etd,pol_atd,pod,scheduled_pod_eta,pod_ata,portcast_predicted_pod_eta,container_pod_actual_discharge,last_container_event,vessel_legs,container_pod_scheduled_discharge
0,KOCU4806726,HDMU,CNNGB,,,USNYC,,,2021-06-12T18:00:00,,Vessel arrival,1.0,2021-06-12T18:00:00
1,KOCU4138843,HDMU,VNVUT,,,USORF,2021-06-13T16:00:00-05:00,,2021-06-14T02:50:07.504794-05:00,,Unclassified,1.0,2021-06-12T20:00:00
2,HDMU4753869,HDMU,VNVUT,,,USSAV,2021-06-16T14:00:00-05:00,,2021-06-17T15:21:59.522328-05:00,,Unclassified,1.0,2021-06-15T19:00:00
3,KOCU4823359,HDMU,CNNGB,,,USNYC,,,2021-05-16T19:00:00,,Vessel arrival,1.0,2021-05-16T19:00:00
4,MSCU5135983,MSCU,VNSGN,,,USLGB,,,2021-06-04T00:00:00,,Vessel arrival,2.0,2021-06-04T00:00:00
5,MSCU5301750,MSCU,VNSGN,,,USLGB,,,2021-06-04T00:00:00,,Vessel arrival,2.0,2021-06-04T00:00:00
6,OOLU0888049,OOLU,VNCMT,,,USSAV,,,2021-06-30T17:00:00,,Vessel arrival,1.0,2021-06-30T17:00:00
7,BMOU4504233,ZIMU,,,,,,,,,,,
8,FSCU8870897,OOLU,VNCMT,2021-05-28T01:00:00+07:00,,USLGB,2021-06-16T18:00:00-08:00,,2021-06-23T01:01:37.184848-08:00,,Vessel arrival,1.0,2021-06-20T08:00:00
9,TCLU5125101,HLCU,INMUN,2021-04-30T07:00:00+05:30,2021-05-01T00:30:00+05:30,USNYC,2021-05-20T18:00:00-05:00,2021-05-21T05:10:07-05:00,,2021-05-21T12:46:00,Unclassified,1.0,
10,TLLU5215409,HLCU,INMUN,2021-05-13T15:00:00+05:30,,USNYC,2021-06-02T19:00:00-05:00,,2021-05-27T10:32:36.524995-05:00,,Vessel arrival,1.0,2021-06-04T19:00:00
11,CAIU9627251,HLCU,INNSA,2021-05-11T15:00:00+05:30,2021-05-11T18:54:00+05:30,USNYC,2021-06-02T19:00:00-05:00,,2021-05-27T10:32:36.524995-05:00,,Vessel arrival,1.0,2021-06-04T19:00:00
12,ZCSU7144592,ZIMU,,,,,,,,,,,
13,BSIU9535850,HDMU,CNYTN,2021-05-06T08:00:00+08:00,2021-05-06T08:36:00+08:00,USSAV,2021-06-07T11:00:00-05:00,,2021-06-08T09:00:00,,Unclassified,1.0,2021-06-08T09:00:00
14,DFSU6214214,HDMU,CNYTN,2021-05-16T13:00:00+08:00,2021-05-16T09:35:33+08:00,USLGB,,,2021-05-31T07:00:00,,Vessel arrival,1.0,2021-05-31T07:00:00
15,HMMU9035440,HDMU,VNVUT,,,USSAV,2021-06-16T14:00:00-05:00,,2021-06-17T15:21:59.522328-05:00,,Unclassified,1.0,2021-06-15T19:00:00
16,KOCU5108191,HDMU,CNSHG,,,USNYC,,,2021-06-21T13:00:00,,Unclassified,1.0,2021-06-21T13:00:00
17,BSIU9942032,HDMU,CNYTN,2021-05-02T00:00:00+08:00,2021-05-02T03:46:00+08:00,USORF,2021-06-07T15:00:00-05:00,,2021-06-08T08:08:39.937045-05:00,,Unclassified,1.0,2021-06-07T18:00:00
18,HLXU8187667,HLCU,CNNGB,2021-04-13T22:00:00+08:00,2021-04-14T06:30:00+08:00,USNYC,2021-05-16T19:00:00-05:00,2021-05-19T22:30:08-05:00,,2021-05-20T15:07:00,Gate out,1.0,
19,BMOU4037519,HLCU,INMUN,2021-05-13T15:00:00+05:30,,USNYC,2021-06-02T19:00:00-05:00,,2021-05-27T10:32:36.524995-05:00,,Vessel arrival,1.0,2021-06-04T19:00:00
20,CAIU8076128,HLCU,INMUN,2021-06-03T03:00:00+05:30,,USSAV,,,2021-06-29T07:00:00,,Vessel arrival,1.0,2021-06-29T07:00:00
21,HLXU8124680,HLCU,VNVUT,2021-03-31T11:00:00+07:00,2021-03-31T11:21:00+07:00,USVAN,,,2021-05-14T15:00:00,2021-05-17T07:19:00,Unclassified,1.0,
22,KOCU4216571,HDMU,CNYTN,2021-05-06T08:00:00+08:00,2021-05-06T08:36:00+08:00,USSAV,2021-06-07T11:00:00-05:00,,2021-06-08T09:00:00,,Unclassified,1.0,2021-06-08T09:00:00
23,HMMU6294957,HDMU,CNYTN,2021-05-06T08:00:00+08:00,2021-05-06T08:36:00+08:00,USSAV,2021-06-07T11:00:00-05:00,,2021-06-08T09:00:00,,Unclassified,1.0,2021-06-08T09:00:00
24,MIEU3021551,MAEU,VNVUT,2021-04-09T06:00:00+07:00,2021-04-09T07:33:00+07:00,USLAX,2021-05-15T08:00:00-08:00,2021-05-12T07:57:00-08:00,,2021-05-19T14:41:00,Gate out,2.0,
25,ZCSU8209553,ZIMU,KHKOS,,,USNYC,,,2021-06-28T13:00:00,,Unload from vessel,2.0,2021-06-28T13:00:00
26,MSMU8184908,MSCU,CNXMG,,,USLGB,,,2021-06-27T00:00:00,,Unload from vessel,1.0,2021-06-27T00:00:00
27,CAIU7915808,HLCU,VNVUT,2021-05-13T02:00:00+07:00,2021-05-12T12:50:00+07:00,USNYC,2021-06-08T09:00:00-05:00,,2021-06-10T21:00:50.021018-05:00,,Unclassified,1.0,2021-06-09T23:00:00
28,OOLU7512182,COSU,CNSHG,2021-05-08T10:00:00+08:00,2021-05-09T15:17:00+08:00,USLAX,,,2021-06-07T08:00:00,,Vessel arrival,1.0,2021-06-07T08:00:00
29,TCLU8882897,ONEY,CNYTN,2021-04-11T10:45:00+08:00,2021-04-11T10:45:00+08:00,USTIW,2021-04-29T23:30:00-07:00,2021-04-29T23:30:00-07:00,,2021-05-09T01:05:00,Unload from vessel,1.0,
30,TCNU9616918,ONEY,CNYTN,2021-04-11T10:45:00+08:00,2021-04-11T10:45:00+08:00,USTIW,2021-04-29T23:30:00-07:00,2021-04-29T23:30:00-07:00,,2021-05-09T01:40:00,Unload from vessel,1.0,
31,UACU5226831,HLCU,VNVUT,2021-05-09T06:00:00+07:00,2021-05-09T06:24:00+07:00,USNYC,2021-06-06T10:00:00-05:00,,2021-06-10T19:36:47.932567-05:00,,Unclassified,1.0,2021-06-10T05:00:00
32,DRYU9869106,HLCU,VNVUT,2021-05-11T09:00:00+07:00,2021-05-11T07:50:00+07:00,USSAV,2021-06-14T00:01:00-05:00,,2021-06-18T07:28:02.651070-05:00,,Unclassified,1.0,2021-06-17T08:00:00
33,TCLU5108784,HLCU,VNVUT,2021-05-09T06:00:00+07:00,2021-05-09T06:24:00+07:00,USNYC,2021-06-06T10:00:00-05:00,,2021-06-10T19:36:47.932567-05:00,,Unclassified,1.0,2021-06-10T05:00:00
